issue, twitter and nitter, en.osm.town, other mastodon
2020-1,36,0,0
2020-2,17,0,0
2020-3,29,1,1
2020-4,19,0,0
2020-5,21,0,0
2020-6,22,0,0
2020-7,13,0,0
2020-8,23,0,0
2020-9,17,0,0
2020-10,12,0,0
2020-11,20,0,0
2020-12,11,0,0
2021-1,7,0,0
2021-2,6,0,0
2021-3,14,0,0
2021-4,10,0,0
2021-5,21,0,0
2021-6,16,0,0
2021-7,21,0,0
2021-8,18,0,0
2021-9,23,0,0
2021-10,16,0,0
2021-11,44,0,0
2021-12,20,0,0
2022-1,18,0,0
2022-2,17,4,4
2022-3,19,0,1
2022-4,13,2,2
2022-5,18,2,2
2022-6,17,2,4
2022-7,16,2,3
2022-8,12,3,4
2022-9,9,1,2
2022-10,26,2,4
2022-11,79,25,37
2022-12,41,6,14
2023-1,10,6,12
2023-2,6,7,10